word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/77/lemma/@_entry,word/77/lemma/@_POS,word/80/lemma/@_entry,word/80/lemma/@_POS,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/138/lemma/@_entry,word/138/lemma/@_POS,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS,word/141/@_form,word/141/lemma/@_entry,word/141/lemma/@_POS,word/142/@_form,word/142/lemma/@_entry,word/142/lemma/@_POS
kai\,καί,conjunction,o(,ὁ,article,tou/twn,οὗτος,pronoun,de\,δέ,particle,tu/pos,τύπος,noun,e)k,ἐκ,preposition,th=s,ὁ,article,u(pografh=s,ὑπογραφεύς,noun,e)/stai,εἰμί,verb,fanero/s,φανερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge/noito,γίγνομαι,verb,d),δέ,particle,a)\n,ἄν,particle,kata\,κατά,preposition,to\,ὁ,article,ei)ko\s,ἔοικα,verb,kai\,καί,conjunction,e(/tera,ἕτερος,adjective,sxh/mata,σχῆμα,noun,pro\s,πρός,preposition,ta\s,ὁ,article,a)nakuptou/sas,ἀνακύπτω,verb,a(rmo/zonta,ἁρμόζω,verb,xrei/as,χρεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)anagkaiota/th,ἀναγκαῖος,adjective,d),δέ,particle,ou)=sa,εἰμί,verb,kai\,καί,conjunction,h(,ὁ,article,tw=n,ὁ,article,skeuofo/rwn,σκευόφορος,adjective,a)gwgh\,ἀγωγή,noun,h(gemo/nos,ἡγεμών,noun,deome/nh,δέομαι,verb,kata\,κατά,preposition,tro/pous,τρόπος,noun,gi/netai,γίγνομαι,verb,pe/nte,πέντε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,ga\r,γάρ,particle,proa/gein,προάγω,verb,dei=,δέομαι,verb,th=s,ὁ,article,fa/laggos,φάλαγξ,noun,o(/t),ὅστε,pronoun,a)\n,ἄν,particle,e)k,ἐκ,preposition,polemi/wn,πολέμιος,adjective,a)pi/h|,ἄπιος,adjective,h)\,ἠέ,conjunction,e)pakolouqei=n,ἐπακολουθέω,verb,o(/t),ὅστε,pronoun,a)\n,ἄν,particle,ei)s,εἰς,preposition,polemi/ous,πολέμιος,adjective,e)mba/llh|,ἐμβάλλω,verb,h)\,ἠέ,conjunction,para\,παρά,preposition,th\n,ὁ,article,fa/lagga,φάλαγξ,noun,kata\,κατά,preposition,laia\,λαιός,noun,h)\,ἠέ,conjunction,decia\,δεξιός,adjective,ei)=nai,εἰμί,verb,o(po/t),ὁπότε,adverb,a)\n,ἄν,particle,fobh=tai,φοβέω,verb,ta)nanti/a,ἐναντίος,adjective,me/rh,μέρα,noun,h)\,ἠέ,conjunction,to/,ὁ,article,ge,γε,particle,leipo/menon,λείπω,verb,a)go/mena,ἄγω,verb,e)nto\s,ἐντός,adverb,koi/lh|,κόιλος,adjective,th=|,ὁ,article,fa/laggi,φάλαγξ,noun,perie/xesqai,περιέχω,verb,pantaxo/qen,πανταχόθεν,adverb,o)/ntos,εἰμί,verb,tou=,ὁ,article,de/ous,δέος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*peri\,περί,preposition,tw=n,ὁ,article,kata\,κατά,preposition,ta\s,ὁ,article,kinh/seis,κίνησις,adjective,prostagma/twn,πρόσταγμα,noun,*tosou/twn,τοσοῦτος,adjective,de\,δέ,particle,o)/ntwn,εἰμί,verb,kai\,καί,conjunction,toiou/twn,τοιοῦτος,adjective,sxhmatismw=n,σχηματισμός,noun,e(po/menon,ἕπομαι,verb,a)\n,ἄν,particle,ei)/h,ἀίω,verb,toi=s,ὁ,article,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,e)pie/nai,ἔπειμι,verb,prosta/gmasi,πρόσταγμα,noun,kaq),καθά,adverb,a(\,ὅς,pronoun,sxhmati/zein,σχηματίζω,verb,te,τε,particle,au)ta\,αὐτός,pronoun,kai\,καί,conjunction,kinei=n,κινέω,verb,dunhso/meqa,δύναμαι,verb,kai\,καί,conjunction,a)pokaqista/nein,ἀποκαθιστάνω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,prou+pa/rxousan,προυπάρχω,verb,ta/cin,τάξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,ga\r,γάρ,particle,h)=n,εἰμί,verb,e)/ti,ἔτι,adverb,leipo/menon,λείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/ot),ὅστε,pronoun,a)\n,ἄν,particle,me\n,μέν,particle,ou)=n,οὖν,particle,e)pi\,ἐπί,preposition,do/ru,δόρυ,noun,ta\,ὁ,article,sunta/gmata,σύνταγμα,noun,e)pistre/fein,ἐπιστρέφω,verb,boulw/meqa,βούλομαι,verb,paraggelou=men,παραγγέλλω,verb,to\n,ὁ,article,e)pi\,ἐπί,preposition,tou=,ὁ,article,deciou=,δεξιός,adjective,lo/xon,λόχος,noun,h(suxi/an,ἡσυχία,noun,a)/gein,ἄγω,verb,e(/kaston,ἕκαστος,adjective,de\,δέ,particle,tw=n,ὁ,article,e)n,ἐν,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,lo/xois,λόχος,noun,e)pi\,ἐπί,preposition,do/ru,δόρυ,noun,kli=nai,κλίνη,noun,prosa/gein,προσάγω,verb,te,τε,particle,e)pi\,ἐπί,preposition,to\,ὁ,article,decio/n,δεξιός,adjective,ei)=ta,εἶτα,adverb,ei)s,εἰς,preposition,o)rqo\n,ὀρθός,adjective,a)podou=nai,ἀποδίδωμι,verb,e)/peita,ἔπειτα,adverb,prosa/gein,προσάγω,verb,ta\,ὁ,article,o)pi/sw,ὀπίσω,adverb,zuga/,ζυγή,noun,kai\,καί,conjunction,tau/ths,οὗτος,pronoun,genome/nhs,γίγνομαι,verb,th=s,ὁ,article,puknw/sews,πύκνωσις,noun,e)pistre/fein,ἐπιστρέφω,verb,e)pi\,ἐπί,preposition,do/ru,δόρυ,noun,kai\,καί,conjunction,e)/stai,εἰμί,verb,to\,ὁ,article,su/ntagma,σύνταγμα,noun,e)pestramme/non,ἐπιστρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ea\n,ἐάν,conjunction,de\,δέ,particle,e)pi\,ἐπί,preposition,th\n,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,qe/sin,θέσις,noun,a)pokatasth=sai,ἀποκαθίστημι,verb,boulw/meqa,βούλομαι,verb,e)p),ἐπί,preposition,a)spi/da,ἀσπίς,noun,metaba/llesqai,μεταβάλλω,verb,paraggelou=men,παραγγέλλω,verb,h(,ὁ,article,de\,δέ,particle,metabolh\,μεταβολή,noun,ti/,τίς,pronoun,shmai/nei,σημαίνω,verb,pro/teron,πρότερος,adjective,ei)/rhtai,ἔρομαι,verb,ei)=t),εἶμι,verb,a)nastre/fein,ἀναστρέφω,verb,o(/lon,ὅλος,adjective,to\,ὁ,article,su/ntagma,σύνταγμα,noun,e)/peita,ἔπειτα,adverb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,tw=n,ὁ,article,loxagw=n,λοχαγός,adjective,h)remou/ntwn,ἠρεμέω,verb,oi(,ὁ,article,loipoi\,λοιπός,adjective,kata\,κατά,preposition,zuga\,ζυγή,noun,proage/twsan,προάγω,verb,e)/peita,ἔπειτα,adverb,metaballe/sqwsan,μεταβάλλω,verb,e)f),ἐπί,preposition,a(\,ὅς,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,e)/neuon,νεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,o(,ὁ,article,decio\s,δεξιός,adjective,h)remei/tw,ἠρεμέω,verb,lo/xos,λόχος,noun,oi(,ὁ,article,de\,δέ,particle,loipoi\,λοιπός,adjective,e)p),ἐπί,preposition,a)spi/da,ἀσπίς,noun,kline/twsan,κλίνω,verb,kai\,καί,conjunction,proa/gontes,προάγω,verb,a)pokaqista/qwsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ga\r,γάρ,particle,th\n,ὁ,article,ta/cin,τάξις,noun,h(\n,ὅς,pronoun,pro/teron,πρότερος,adjective,ei)=xen,ἔχω,verb,e(/kastos,ἕκαστος,adjective,a)polh/yetai,ἀπολαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ei),εἰ,conjunction,d),δέ,particle,e)p),ἐπί,preposition,a)spi/da,ἀσπίς,noun,bouloi/meqa,βούλομαι,verb,e)pistre/fein,ἐπιστρέφω,verb,paraggelou=men,παραγγέλλω,verb,e(ka/stou,ἕκαστος,adjective,sunta/gmatos,σύνταγμα,noun,to\n,ὁ,article,laio\n,λαιός,noun,lo/xon,λόχος,noun,h)remei=n,ἠρεμέω,verb,tw=n,ὁ,article,de\,δέ,particle,a)/llwn,ἄλλος,adjective,e(/kaston,ἕκαστος,adjective,e)p),ἐπί,preposition,a)spi/da,ἀσπίς,noun,kli=nai,κλίνη,noun,kai\,καί,conjunction,prosa/gein,προσάγω,verb,ei)s,εἰς,preposition,ta\,ὁ,article,laia/,λαιός,noun,ei)=ta,εἶτα,adverb,ei)s,εἰς,preposition,o)rqo\n,ὀρθός,adjective,a)podou=nai,ἀποδίδωμι,verb,e)/peita,ἔπειτα,adverb,prosa/gein,προσάγω,verb,ta\,ὁ,article,o)pi/sw,ὀπίσω,adverb,zuga/,ζυγή,noun,kai\,καί,conjunction,genome/nhs,γίγνομαι,verb,th=s,ὁ,article,puknw/sews,πύκνωσις,noun,e)p),ἐπί,preposition,a)spi/da,ἀσπίς,noun,e)pistre/fein,ἐπιστρέφω,verb,peri\,περί,preposition,to\n,ὁ,article,laio\n,λαιός,noun,loxago/n,λοχαγός,adjective,kai\,καί,conjunction,ge/gone,γίγνομαι,verb,to\,ὁ,article,paraggelqe/n,παραγγέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
